name, rating, numbersales, phonenum, email, createdat, updatedat
Maida Weissnat,5,7,311-260-9269,Osborne.Corkery71@gmail.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
Leonardo Kassulke V,4,16,010-802-8137,Kiara.Thiel49@hotmail.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
Jared Runolfsdottir DDS,3,22,802-994-8966,Zion.Johns@yahoo.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
Paula Gerhold,3,2,089-856-6313,Margie13@gmail.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
Toby Rowe,3,26,638-634-3633,Bart_Kuhlman87@hotmail.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
Liliana Labadie,4,2,608-833-5025,Vernon65@yahoo.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
Brisa Denesik,4,25,664-385-3434,Opal8@gmail.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
Kasey Koepp,4,25,976-363-7146,Ozella.Orn73@hotmail.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
Raphael Bednar,4,20,210-383-2530,Eldridge.Wehner21@yahoo.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
Dr. Ryder Brakus,4,2,211-502-0062,Clair51@yahoo.com,Sun Apr 12 2020 18:25:52 GMT-0700 (PDT),Sun Apr 12 2020 18:25:52 GMT-0700 (PDT)
